1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,19,12,,390,,2017-09-01 12:38:47 PM,40.69221589,,-73.9842844,,Duffield St & Willoughby St,,Duffield St & Willoughby St,1,In Service,False,31
,7,24,,391,,2017-09-01 12:36:23 PM,40.69760127,,-73.99344559,,Clark St & Henry St,,Clark St & Henry St,1,In Service,False,31
,28,7,,392,,2017-09-01 12:37:42 PM,40.695065,,-73.987167,,Jay St & Tech Pl,,Jay St & Tech Pl,1,In Service,False,35
,0,31,,393,,2017-09-01 12:39:15 PM,40.72299208,,-73.97995466,,E 5 St & Avenue C,,E 5 St & Avenue C,1,In Service,False,31
,0,32,,394,,2017-09-01 12:39:15 PM,40.72521311,,-73.97768752,,E 9 St & Avenue C,,E 9 St & Avenue C,1,In Service,False,32
,25,5,,395,,2017-09-01 12:38:37 PM,40.68807003,,-73.98410637,,Bond St & Schermerhorn St,,Bond St & Schermerhorn St,1,In Service,False,30
,1,24,,396,,2017-09-01 12:35:51 PM,40.680342423,,-73.9557689392,,Lefferts Pl & Franklin Ave,,Lefferts Pl & Franklin Ave,1,In Service,False,25
,5,22,,397,,2017-09-01 12:36:50 PM,40.68415748,,-73.96922273,,Fulton St & Clermont Ave,,Fulton St & Clermont Ave,1,In Service,False,27
,17,14,,398,,2017-09-01 12:38:12 PM,40.69165183,,-73.9999786,,Atlantic Ave & Furman St,,Atlantic Ave & Furman St,1,In Service,False,31
,7,20,,399,,2017-09-01 12:36:56 PM,40.68851534,,-73.9647628,,Lafayette Ave & St James Pl,,Lafayette Ave & St James Pl,1,In Service,False,27
,1,14,,400,,2017-09-01 12:35:40 PM,40.71926081,,-73.98178024,,Pitt St & Stanton St,,Pitt St & Stanton St,1,In Service,False,15
,1,41,,401,,2017-09-01 12:39:18 PM,40.72019576,,-73.98997825,,Allen St & Rivington St,,Allen St & Rivington St,1,In Service,False,42
,13,26,,402,,2017-09-01 12:38:35 PM,40.7403432,,-73.98955109,,Broadway & E 22 St,,Broadway & E 22 St,1,In Service,False,39
